"Modern environmental culture first manifested itself in Montreal in the work of the Quebecois Art Deco architect-engineer Ernest Cormier,primarily through his Université de Montreal,constructed between 1928 and 1955.",Université de Montreal,ARCH
"the Place Ville Marie (1958),an office and shopping complex by I.M. Pei",Place Ville Marie,ARCH
"the merchandise mart and rooftop hotel,known as the Place Bonaventure,built to the designs of Ray Affleck in 'corduroy' bush-hammered concrete in 1964.",Place Bonaventure,ARCH
"This exhibition was dominated by two monumental works,the first being Buckminster Fuller's US Pavilion,which took the unique form of an enormous geodesic sphere.",US Pavilion,ARCH
"The other prominent work,which was also predicated on tetrahedral geometry,was Moshe Safdie's multistorey experimental housing complex,known as Habitat '67",Habitat '67,ARCH
"Toronto's entry into modernity began in 1958 with the international competition for Toronto City Hall",Toronto City Hall,ARCH
"However,the first move towards a regionally inflected Canadian architecture appeared in Toronto in the work of Ron Thom,whose part-Brutalist,part-late Gothic Revival enclave of Massey College was constructed in the built-up area of the city in 1963",enclave of Massey College,ARCH
"This was followed in 1965 by the equally Brutalist,organically planned Scarborough College",Scarborough College,ARCH
"On the west coast,the first figure of stature to emerge during the post-war period was Arthur Erickson,whose Simon Fraser University (1962-72),conceived as a landscaped megastructure,was integrated into the rising site of a small mountain near Vancouver.",Simon Fraser University,ARCH
"Erickson followed this achievement with two other megastructural works: his bridge-like design for the University of Lethbridge in Alberta (1972),and his Robson Square complex,completed as an axial spine running through the centre of Vancouver in 1986.",University of Lethbridge,ARCH
"Erickson followed this achievement with two other megastructural works: his bridge-like design for the University of Lethbridge in Alberta (1972),and his Robson Square complex,completed as an axial spine running through the centre of Vancouver in 1986.",Robson Square complex,ARCH
"At the Britz-Siedlung (1928) in Berlin,Bruno Taut,working for the building society GEHAG,focused his layout on a large,horseshoe shaped open space and used every opportunity to introduce variety into the project by means of colour,contrasting materials,curved streets,and broken lines of housing.",Britz-Siedlung,ARCH
"The chief paradigm for this 'constructed' object was the three dimensional work of Vladimir Tatlin (1885-1953)—particularly his  'Counter-reliefs' of 1915,based on Boccioni's 1914 reinterpretation of  Picasso's relief collages,and his maquette for a Monument to the  Third International (1919—20)",Monument to the  Third International,ARCH
"Two projects by individual architects also addressed the problem of large-scale urban buildings in different and more pragmatic ways. The first is Citizen's House in Orebro (1965) by Eric and Tore Ahlsén.",Citizen's House in Orebro,ARCH
"It is also found in other projects by Mies: the competition scheme for the Bismarck Monument of 1910 (which probably had its origin in Schinkel's Schloss Orianda project of 1838),the Wolf House,the Tugendhat House (1928-30),and the Mountain House project of 1934.",Bismarck Monument,ARCH
"It is also found in other projects by Mies: the competition scheme for the Bismarck Monument of 1910 (which probably had its origin in Schinkel's Schloss Orianda project of 1838),the Wolf House,the Tugendhat House (1928-30),and the Mountain House project of 1934.",Wolf House,ARCH
"It is also found in other projects by Mies: the competition scheme for the Bismarck Monument of 1910 (which probably had its origin in Schinkel's Schloss Orianda project of 1838),the Wolf House,the Tugendhat House (1928-30),and the Mountain House project of 1934.",Tugendhat House,ARCH
"It is also found in other projects by Mies: the competition scheme for the Bismarck Monument of 1910 (which probably had its origin in Schinkel's Schloss Orianda project of 1838),the Wolf House,the Tugendhat House (1928-30),and the Mountain House project of 1934.",Mountain House,ARCH
"The only realized project in which Loos addressed the problem of inserting a large commercial building in a historical urban context was the 'Looshaus' in Michaelerplatz of 1909-11",Looshaus,ARCH
"The problem faced by Loos was that of designing a modern commercial building in a fashionable shopping street close to the Imperial Palace.",Imperial Palace,ARCH
"The Citrohan House is a single cubic volume. Its window openings extend to the corner reinforced-concrete column,leaving only the thickness of this column separating the window opening from the circumambient air,destroying the building's apparent mass",The Citrohan House,ARCH
"In the late 19208 and early 19308 Le Corbusier designed a number of major public buildings,including two unbuilt competition designs— the League of Nations Building for Geneva (1927) and the Palace of the Soviets for Moscow (1931)—and two completed buildings—the Centrosoyus building in Moscow (1929-35) and the Cite de Refuge in Paris (1929-33) [102].",League of Nations Building,ARCH
"In the late 19208 and early 19308 Le Corbusier designed a number of major public buildings,including two unbuilt competition designs— the League of Nations Building for Geneva (1927) and the Palace of the Soviets for Moscow (1931)—and two completed buildings—the Centrosoyus building in Moscow (1929-35) and the Cite de Refuge in Paris (1929-33) [102].",Palace of the Soviets for Moscow,ARCH
"In the late 19208 and early 19308 Le Corbusier designed a number of major public buildings,including two unbuilt competition designs— the League of Nations Building for Geneva (1927) and the Palace of the Soviets for Moscow (1931)—and two completed buildings—the Centrosoyus building in Moscow (1929-35) and the Cite de Refuge in Paris (1929-33) [102].",Centrosoyus,ARCH
"In the late 19208 and early 19308 Le Corbusier designed a number of major public buildings,including two unbuilt competition designs— the League of Nations Building for Geneva (1927) and the Palace of the Soviets for Moscow (1931)—and two completed buildings—the Centrosoyus building in Moscow (1929-35) and the Cite de Refuge in Paris (1929-33) [102].",Cite de Refuge,ARCH
"Buildings by these lead ing architects,which became benchmarks,are the Amsterdam Stock Exchange,the Wertheim Department Store in Berlin,and the buildings for the Vienna Stadtbahn",Amsterdam Stock Exchange,ARCH
"Buildings by these lead ing architects,which became benchmarks,are the Amsterdam Stock Exchange,the Wertheim Department Store in Berlin,and the buildings for the Vienna Stadtbahn",Wertheim Department Store,ARCH
"Buildings by these lead ing architects,which became benchmarks,are the Amsterdam Stock Exchange,the Wertheim Department Store in Berlin,and the buildings for the Vienna Stadtbahn",the buildings for the Vienna Stadtbahn,ARCH
"The casino in Saint-Malo by the brothers Auguste and Gustave Perret,with a reinforced concrete vault that is very bold for its period,dates from the same time (1899/1900). But,as was so often also the case with the Perret brothers' later buildings,the architecture remained untouched by the con structional innovations.",The casino in Saint-Malo,ARCH
"It suffices to name Berlage's fantastic plan for a mausoleum in which he actually intended to use all historical styles side by side (1889),Messel's Werder·Haus and his office building on Krausenstraf3e (Berlin,1894/1895),and Otto Wagner's ideal design,Art ibus (1880)",Messel's Werder·Haus,ARCH
"It suffices to name Berlage's fantastic plan for a mausoleum in which he actually intended to use all historical styles side by side (1889),Messel's Werder·Haus and his office building on Krausenstraf3e (Berlin,1894/1895),and Otto Wagner's ideal design,Art ibus (1880)",office building on Krausenstraf3e,ARCH
"Incidentally the small De Nederlanden office building in The Hague,built in 1895 and much improved by remodeling in 1905,acted as a harbinger for the work on the stock exchange",De Nederlanden office building,ARCH
"In the last few decades of European architecture,Baroque design has congealed into an arid academicism. Among the very rare buildings of character are Franz Schwechten's Stettin and Anhalt railroad stations in Berlin (1878).",Anhalt railroad stations,ARCH
"The most grotesque example: lhne's Staatsbibliothek in Berlin,a concrete building that needs an artifical,complicated iron frame to support its sandstone Baroque facade,like a mask; or,by the same I hne,the Kaiser-Friedrich-Museum,in whose plan the flight of stairs in the vestibule could be moved from one side to the other without having the slightest effect on the architecture of the building as a whole.",Staatsbibliothek,ARCH
